intent,request

1,Hello how are you doing today
1,How are you
1,How's your day going
1,What's up
1,What's new
1,What's going on
1,How's everything
1,How's your week going
1,What have you been up to
1,How's your day
1,Good morning!
1,Good afternoon!
1,Good evening!
1,Is everything alright
1,How are things
1,How're you holding up
1,Are you doing well
1,You okay
1,You good
2,things to do in moscow
2,What is there to see in Moscow
2,What to do in Moscow
2,Places to see in Moscow
2,What are some tourist attractions in Moscow
2,museums in Moscow
2,historical sites in Moscow
2,things to see and do in Moscow
2,places to visit in Moscow
2,tourist attractions in Moscow
2,museums in Moscow
2,What are some tourist attractions in the 
2,What are some must-see places in the 
2,tourist activities in the 
2,museums in the 
2,historical sites in the 
2,vacation rentals in the 
2,things to do in the on a rainy day
2,things to do in the on a sunny day
2,annual events in the 
2,places to take pictures in the 
3,parks in Moscow
3,parks for picnics
3,parks for walking
3,parks for children
3,parks for sports
3,parks for relaxation
3,parks for sightseeing
3,parks for photography
3,parks for bird watching
3,parks for dogs
3,parks for nature lovers
3,parks for history buffs
3,parks for couples
3,parks for families
3,parks for groups
3,parks for tourists
3,parks for locals
3,parks for all seasons
3,parks for special occasions
3,What is your favorite park
4,What are some good restaurants in Moscow
4,What are some of your favorite restaurants in Moscow
4,places to eat in Moscow
4,cafes in Moscow
4,rated restaurants in Moscow
4,highly rated cafes in Moscow
4,recommended restaurants in Moscow
4,tourist cafes in Moscow
4,visited restaurants in Moscow
4,local cafes in Moscow
4,hidden gem restaurants in Moscow
4,kept secret cafes in Moscow
4,off the beaten path restaurants in Moscow
4,local hole in the wall cafes in Moscow
4,dive restaurants in Moscow
4,cheap eats cafes in Moscow
4,value restaurants in Moscow
4,budget cafes in Moscow
4,mid range restaurants in Moscow
4,high end cafes in Moscow
4,What are your favorite restaurants
4,cafes
4,restaurants
4,expensive cafes
4,restaurants for families
4,cafes for a romantic night out
4,restaurants for large groups
4,cafes for a quick bite
4,restaurants for vegetarians
4,cafes for vegans
4,restaurants for gluten-free diners
4,cafes for those with food allergies
4,restaurants for kids
4,cafes for adults
4,restaurants for seniors
4,cafes for a special occasion
4,restaurants for a date night
4,cafes for a business lunch
4,restaurants for a leisurely meal
5,What are some bars in Moscow
5,What are some bars that are with locals in Moscow
5,What are some bars that are with tourists in Moscow
5,bars in Moscow
5,nightclubs in Moscow
5,places to go out in Moscow
5,places to drink in Moscow
5,places to party in Moscow
5,places to dance in Moscow
5,places to listen to live music in Moscow
5,places to go for a night out in Moscow
5,places to go clubbing in Moscow
5,places to go for a night of dancing in Moscow
5,places to go for a night of live music in Moscow
5,places to drink and dance in Moscow
5,places to drink and listen to live music in Moscow
5,places to party and dance in Moscow
5,places to party and listen to live music in Moscow
5,What is your favorite bar
5,What bars do you frequent
5,What are some of your favorite bars in the 
5,bars in the 
5,bars
5,crowded bars
5,well-known bars
5,What bars are the most unique
5,What bars offer the best happy hour specials
5,What bars have the best live music
5,What bars have the best views
5,What bars have the best drink specials
5,What bars have the best food
5,What bars are the most kid-friendly
5,What bars are the most pet-friendly
5,What bars have the best pool tables
5,What bars have the best dart boards
5,What bars have the best jukeboxes
5,What bars are open the latest
5,What bars never close
5,I urgently need to get drunk
6,Thanks
6,Thank you
6,Thank you very much
6,Thank you so much
6,Many thanks